combo,n_factors,Daily Recent 1y_edge,Daily Recent 1y_n,Daily Recent 1y_win,Daily Prior 2y_edge,Daily Prior 2y_n,Daily Prior 2y_win,Weekly Recent 1y_edge,Weekly Recent 1y_n,Weekly Recent 1y_win,Weekly Prior 2y_edge,Weekly Prior 2y_n,Weekly Prior 2y_win,windows_tested,windows_positive,mean_edge,worst_edge,min_n,verdict
B3+C1+D1+V1,4,0.022426580879028088,439,54.441913439635535,0.24480314531671035,906,55.73951434878587,1.9680719296351568,53,54.71698113207547,2.252824126263731,94,47.87234042553192,4,4,1.1220314455236564,0.022426580879028088,53.0,Holds everywhere
C1+D1+V1,3,0.01149322281964016,514,54.08560311284047,0.14426583671511833,1065,55.305164319248824,0.563975225498469,68,47.05882352941176,1.7033705386036178,117,50.427350427350426,4,4,0.6057762059092113,0.01149322281964016,68.0,Holds everywhere
C1+V1,2,0.046696143870945395,1034,54.83558994197292,0.1255913452279883,2093,54.41949354992833,1.3729222711320044,128,53.125,0.20534891904289843,245,54.69387755102041,4,4,0.43763966981845914,0.046696143870945395,128.0,Holds everywhere
B3+D1+V1,3,0.24557470604405887,4504,53.66341030195382,0.020661842782790703,10737,54.25165316196331,0.15219406145234707,1004,53.48605577689243,0.48917228238860644,2253,57.922769640479366,4,4,0.22690072316695076,0.020661842782790703,1004.0,Holds everywhere
B3+V1,2,0.09791313656811793,6416,52.5716957605985,0.04657944452448769,14875,54.211764705882345,0.1337673346976547,1418,53.31452750352609,0.22580415576923552,3091,56.9718537690068,4,4,0.12601601788987396,0.04657944452448769,1418.0,Holds everywhere
B3+C1+V1,3,-0.10399765807541335,753,53.12084993359893,0.1757818489645458,1563,54.702495201535505,2.5962155994080107,87,57.47126436781609,0.6005383273103289,163,49.079754601226995,4,3,0.817134529401868,-0.10399765807541335,87.0,Mostly holds
A1+B3+D1+V1,4,0.06978353935278025,1008,49.50396825396825,-0.0955213744542138,2547,53.23910482921084,0.26381352917605394,152,55.92105263157895,1.572001263258068,383,59.7911227154047,4,3,0.4525192393331721,-0.0955213744542138,152.0,Mostly holds
A1+D1+V1,3,0.05679421829726529,1295,50.73359073359074,-0.10640185577901512,3237,53.259190608588206,0.07737873223572424,171,53.80116959064327,1.4413699185758524,468,58.76068376068376,4,3,0.3672852533324567,-0.10640185577901512,171.0,Mostly holds
A2+C1,2,0.27453663094581604,587,56.558773424190804,0.3409594771389946,1162,54.73321858864028,0.2815499708679351,38,39.473684210526315,-0.03311708805817305,138,57.971014492753625,4,3,0.2159822477236432,-0.03311708805817305,38.0,Mostly holds
A2+B1+V1,3,0.15116228816920813,678,52.50737463126843,0.10068082894221328,1373,53.96941005098325,-0.04396037140265949,84,57.14285714285714,0.17536729046013433,145,53.79310344827586,4,3,0.09581250904222405,-0.04396037140265949,84.0,Mostly holds
B1+D1,2,0.011023399646573903,18350,53.253405994550405,0.03764281071197775,35691,54.60200050432882,-0.4475841405629976,3276,53.51037851037851,0.752658820062469,5644,60.75478384124734,4,3,0.08843522246450576,-0.4475841405629976,3276.0,Mostly holds
A2+B1+D1,3,-0.06636254917952313,3010,53.35548172757475,0.04455513452952515,5808,54.9931129476584,0.08369283198239975,299,57.859531772575245,0.27865958062951207,458,61.572052401746724,4,3,0.08513624949047846,-0.06636254917952313,299.0,Mostly holds
B3+C1,2,0.09900553956549679,2870,52.926829268292686,0.029664673388246365,6293,54.80692833306849,1.2764642006928462,328,57.3170731707317,-1.0759222782717444,689,48.91146589259797,4,3,0.08230303384371124,-1.0759222782717444,328.0,Mostly holds
A2+B1,2,0.024103230357013044,3987,52.771507399046904,0.14092935193696823,7593,54.892664296062165,-0.20916146659015955,400,56.75,0.30496783478611816,598,60.70234113712375,4,3,0.06520973762248497,-0.20916146659015955,400.0,Mostly holds
B1,1,0.03188488691092093,29689,52.97921789214861,0.0038097677921435443,55952,53.81398341435516,-0.46711927007974335,5447,53.6442078208188,0.32295773800640376,9736,57.51848808545604,4,3,-0.027116719342568776,-0.46711927007974335,5447.0,Mostly holds
A2+V1,2,0.1200652486809492,2283,52.693823915900126,0.0003417708681081275,4902,53.44757241942064,0.36909118252054934,320,56.25,-0.6102051556657936,648,51.388888888888886,4,3,-0.03017673839904672,-0.6102051556657936,320.0,Mostly holds
D1,1,0.006530997708365167,63258,52.18944639413196,0.014920010361220206,136180,54.47349096783669,-0.27451560536967523,13080,53.36391437308868,0.12549446631567426,27972,56.76033176033176,4,3,-0.031892532746103895,-0.27451560536967523,13080.0,Mostly holds
B3+C1+D1,3,0.1764234436773055,1781,54.12689500280741,0.07100962113163473,4012,54.835493519441684,0.4795806146777744,198,54.04040404040404,-0.979216964194025,376,46.808510638297875,4,3,-0.06305082117682761,-0.979216964194025,198.0,Mostly holds
A1+V1,2,-0.22384239799850417,2612,50.45941807044411,-0.1389399801312454,5564,53.82818116462976,0.5824002289803372,339,56.04719764011799,0.9260558678131655,784,56.63265306122449,4,2,0.2864184296659383,-0.22384239799850417,339.0,Inconsistent
A1+B3+V1,3,-0.17252868666611013,1670,49.94011976047904,-0.09949708302254094,3773,53.37927378743706,0.5728390189197153,255,56.07843137254902,0.7961145302367127,568,57.3943661971831,4,2,0.27423194486694424,-0.17252868666611013,255.0,Inconsistent
A2+B2+D1+V1,4,-0.015614132736785219,478,53.76569037656904,-0.310659613475932,1110,51.17117117117117,1.3277379988126123,80,57.49999999999999,-0.015728643243454337,179,53.072625698324025,4,1,0.2464339023391102,-0.310659613475932,80.0,Inconsistent
A1+B2+V1,3,-0.27776109896448953,791,51.32743362831859,-0.22190707861821898,1486,53.83580080753701,0.19991378857397976,79,53.16455696202531,0.9577360002741209,194,53.09278350515464,4,2,0.16449540281634803,-0.27776109896448953,79.0,Inconsistent
A1+B3+D1,3,-0.053655614050842106,3448,49.62296983758701,-0.04328702449322082,8346,52.56410256410257,-0.21792048668224845,580,54.310344827586206,0.8599462907066886,1449,59.14423740510697,4,1,0.1362707913700943,-0.21792048668224845,580.0,Inconsistent
A2+D1+V1,3,0.027337343774574953,1122,54.09982174688057,-0.15840318028162484,2567,53.019088430074014,0.7981573695112303,161,59.62732919254658,-0.12570033554463284,318,51.257861635220124,4,2,0.1353477993648869,-0.15840318028162484,161.0,Inconsistent
B1+D1+V1,3,0.10328382761729704,4013,53.750311487665094,-0.028220962112897534,8605,54.64264962231261,-0.324015099059916,1021,50.734573947110675,0.6813834357802686,1871,59.80758952431855,4,2,0.10810780055618803,-0.324015099059916,1021.0,Inconsistent
D1+V1,2,0.14474965983894542,13593,53.64525858897963,-0.05079763877175508,30645,55.206395823135914,-0.023789670992608793,3125,53.28000000000001,0.350566459488686,6653,58.049000450924396,4,2,0.10518220239081688,-0.05079763877175508,3125.0,Inconsistent
A1+B3,2,-0.23994191530069092,5428,49.13411938098747,-0.05803226933082679,12258,52.63501386849404,0.08118404109222094,923,53.304442036836406,0.6219770343639602,2083,58.32933269323092,4,2,0.10129672270616587,-0.23994191530069092,923.0,Inconsistent
A2+B3,2,-0.3414999662575559,899,49.49944382647386,0.3580936133481305,1985,55.01259445843829,1.632024900463364,89,60.67415730337079,-1.3788237256207703,182,47.25274725274725,4,2,0.06744870548329207,-1.3788237256207703,89.0,Inconsistent
A2+D1,2,-0.1559435749379271,6341,52.37344267465699,-0.02577661691659896,13377,55.22164909920012,0.4092131666538077,657,57.99086757990868,-0.055506760731215764,1305,56.934865900383144,4,1,0.042996553517016464,-0.1559435749379271,657.0,Inconsistent
B1+V1,2,0.10206978577800371,7002,53.927449300199946,-0.08090047496983693,14202,54.06280805520349,-0.18181770725600827,1724,52.90023201856149,0.32356459039180796,3254,58.54333128457283,4,2,0.04072904848599162,-0.18181770725600827,1724.0,Inconsistent
V1,1,0.10270194393474129,23270,53.73012462397937,-0.054973670375940774,49100,54.655804480651724,-0.01325883881215973,5154,53.511835467597976,0.1251407581766669,10753,57.04454570817447,4,2,0.03990254823082692,-0.054973670375940774,5154.0,Inconsistent
A1,1,-0.22135275571045976,9587,49.838322728695104,-0.09573602860974718,20025,52.928838951310865,0.04135289101827623,1415,53.14487632508834,0.4179405623505067,3114,57.16120745022479,4,2,0.035551167262143996,-0.22135275571045976,1415.0,Inconsistent
A1+D1,2,-0.11192060505787225,4596,49.56483899042646,-0.049404508951929535,10779,52.583727618517486,-0.5339240934066307,716,53.212290502793294,0.733582542918475,1804,59.09090909090909,4,1,0.009583333875510636,-0.5339240934066307,716.0,Inconsistent
